Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x5-orig-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-ch427a.p9_197,  43M ,43484
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43008
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.p9_197,  42M ,43004
, test-ch427a.pa_197,  51M ,52148
