Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens00,,,,
u-ch427-n512-max18-single-ens00,,Total Size,0,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens01, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens01,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens02, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens02,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens03, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens03,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens04, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens04,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens05, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens05,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens06, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens06,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens07, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens07,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens08, test-m01s00i028.nc,  49M ,   50372109,49192
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens08,,Total Size,2667665010,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens09, test-m01s00i028.nc,  49M ,   50372109,49192
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens09,,Total Size,2667665010,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens10, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens10,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens11, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens11,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens12, test-m01s00i028.nc,  49M ,   50372109,49192
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens12,,Total Size,2667665010,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens13, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens13,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens14, test-m01s00i028.nc,  49M ,   50372109,49192
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens14,,Total Size,2667665010,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens15, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens15,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens16, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens16,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens17, test-m01s00i028.nc,  49M ,   50372109,49196
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens17,,Total Size,2667665010,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-single-ens18, test-m01s00i028.nc,  49M ,   50372109,49192
, test-m01s05i256.nc, 2.5G , 2617292901,2555956
u-ch427-n512-max18-single-ens18,,Total Size,2667665010,2605148

